,text
0,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
1,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
2,"Not only was the food outstanding, but the little 'perks' were great."
3,It is very overpriced and not very tasty.
4,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
5,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
6,Nevertheless the food itself is pretty good.
7,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
8,He has visited Thailand and is quite expert on the cuisine.
9,The pizza is the best if you like thin crusted pizza.
10,"All the money went into the interior decoration, none of it went to the chefs."
11,"I asked for seltzer with lime, no ice."
12,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
13,My suggestion is to eat family style because you'll want to try the other dishes.
14,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
15,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
16,"The quantity is also very good, you will come out satisfied."
17,The fried rice is amazing here.
18,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
19,it's a perfect place to have a amanzing indian food.
20,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
21,I just wonder how you can have such a delicious meal for such little money.
22,The food was delicious but do not come here on a empty stomach.
23,The wine list is excellent.
24,so garantuan that you can't fit them in a toaster.
25,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
26,"Nice atmosphere, the service was very pleasant and the desert was good."
27,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
28,Try the lasagnette appetizer.
29,I liked the beer selection!
30,"Great food, good size menu, great service and an unpretensious setting."
31,Wine list selection is good and wine-by-the-glass was generously filled to the top.
32,"With the great variety on the menu , I eat here often and never get bored ."
33,The menu is very limited - i think we counted 4 or 5 entrees.
34,The menu is limited but almost all of the dishes are excellent.
35,Not too crazy about their sake martini.
36,"Great bagels, spreads and a good place to hang out in."
37,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
38,We always have a delicious meal and always leave feeling satisfied.
39,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
40,"My husbands was perfect, my was well done and dry."
41,The pizza was pretty good and huge.
