,text
0,Rubber
1,lovely badam halwa
2,The galouti was cooked in reused oil. The taste and smell said it all. Got hyper acidity after consumption
3,Great place. Had fun
4,The naan was a little too chewy!
5,there was hair in my food
6,prfct dining
7,"**Exceptional Service by Dhaba Staff & esp Pooja – Highly Appreciated!**  I want to extend my heartfelt thanks to Pooja from Dhaba CP for her incredible service and hospitality. On short notice, she managed to arrange a reservation for my friends who were traveling to Delhi for the first time. They were keen to experience an authentic Dhaba menu, and Pooja ensured their dining experience was nothing short of exceptional.  Her professionalism, warmth, and dedication to prioritizing their reservation truly stood out. My friends couldn’t stop raving about the delicious food and the overall experience, all made possible thanks to Pooja's efforts. It’s rare to come across staff who...read more"
8,Not giving 5 star as there is always room for improvement.
9,The service was not prompt and warm. Any tweak to dishes for a toddler was rejected
10,The service and food quality was very poor. I came to this place with my family at some special occasion. The place has spoiled the overall occasion. The main reason behind that the service and quality of the food. Had to wait 15 min. For the starters
11,Sushma was great
12,Ravi has served well. thanks
13,Staff was not polite and made us wait outside the restaurant till the actual time of reservation.we reached there at 6:40 PM and she made us sit outside till 7:00PM although in zomato it was showing to reach 15 Minutes before the reservation timing.
14,W food
15,"delighted to be here . great food , greater service. ajay, Ravi, pushkar ji very helpful staff members. 🤗🤗🤗"
16,Visited this place for the first time. They have ample sitting place and the staff is great. Mushroom galauti kabab was pretty average I would say. I would rate it 2.5/5.Tried 2 mocktails where the bant was more like 3.5/5. Paan mojito was good it was 4.5/5.
17,Ravi’s service was splendid and food was sumptuous
18,Good service by Hansraj
19,Service provided by Pushkar was great!
20,good hospitality by hansraj
21,great food great hospitality..hansraj ji thank you !
22,Good service by hansraj
23,Food wasn’t good enough
24,Pushkar was kind and helpful. Thanks for the service.
25,pushar ji giving good service
26,Pushkar was very helpful and ambience was good
27,Amazing food Great tastePushkar was very helpful :)
28,Pushkar was great and served us well during our visit. He was attentive and helped us.
29,pushkar thank u great food
30,It was really amazing experience. Pushkar is was very hospitable.
31,chandravir did great work and food was good
32,Great service by pushkar
33,food was good but service not good at all
34,Pushkar
35,average food.
36,Pushkar Great Service.
